,X,Y,Facies,Porosity
233,430,889,1,0.200419731
234,490,289,1,0.144524861
235,810,589,0,0.115542713
236,60,289,0,0.08812939
237,580,689,1,0.106416621
238,140,869,1,0.118977809
239,550,979,1,0.152276871
240,160,649,1,0.122671425
241,0,599,1,0.142402295
242,450,319,1,0.149704452
243,750,419,1,0.132183967
244,310,769,1,0.162344857
245,890,489,0,0.103176399
246,730,169,1,0.133723851
247,500,29,0,0.09142011
248,370,949,1,0.193939358
249,200,749,1,0.176662482
250,640,59,1,0.122962123
251,600,319,1,0.116016871
252,200,359,0,0.077625154
253,190,549,1,0.13557574
254,410,419,1,0.113487473
255,450,849,1,0.195349291
256,410,669,1,0.118083412
257,850,919,1,0.120469812
258,750,339,1,0.132198784
259,930,129,1,0.130900716
260,60,659,1,0.134541805
261,330,989,1,0.180306856
262,470,9,0,0.085360841
263,640,929,1,0.120715672
264,130,269,0,0.096372607
265,200,79,1,0.106247235
266,220,459,0,0.106307037
267,470,39,1,0.089110285
268,830,49,0,0.09933233
269,530,559,1,0.127918956
270,430,949,1,0.199272414
271,20,849,1,0.089797912
272,690,979,1,0.098317337
273,820,919,1,0.104364207
274,620,779,1,0.092644713
275,740,449,1,0.133659685
276,730,79,1,0.134690921
277,320,89,1,0.138739647
278,140,279,0,0.08669662
279,300,999,1,0.16067366
280,760,809,1,0.114570354
281,350,489,1,0.115234123
282,550,419,1,0.128798892
283,370,849,1,0.215775813
284,190,199,1,0.109410721
285,190,419,0,0.0995413
286,920,379,0,0.094098557
287,60,149,0,0.100167231
288,390,549,1,0.153334514
